schemaname	table_name	approx_rows
public	accessory_list	12
public	action_log	2477
public	ask_similar_one	222
public	asset	1259
public	authenticity_certificate	1183
public	blotout_purchase_event	524
public	brand	71
public	branded_colour	88
public	branded_material	88
public	branded_size	157
public	catalog_elady	178887
public	catalog_lxc	25933
public	collection	409
public	colour	35
public	competitor_price	104
public	competitor_store	22
public	complement_size	17
public	condition_list	76
public	country	251
public	currency	8
public	currency_rate	624
public	customer	6174
public	deletion_log	8
public	edition	31
public	google_ads	466
public	google_photo_tracker	16
public	hardware_colour	14
public	inventory_location	5
public	inventory_type	2
public	invoice_management	1203
public	item_condition	6
public	language	-1
public	material	47
public	meta_ads	1019
public	model_version	28
public	notification_log	1
public	outreach_action	-1
public	outreach_contact	-1
public	outreach_email_template	-1
public	pattern	46
public	payment_method	4
public	product	2183
public	product_category	31
public	product_category_facebook	14
public	product_category_google	14
public	product_change_tracker	25898
public	product_model	1698
public	product_model_vs_complement_size	579
public	product_shape	56
public	product_size	116
public	product_subcategory	70
public	purchase_import_service	33
public	purchase_order	218
public	purchase_order_inbound	974
public	purchase_order_item	914
public	purchase_order_payment	327
public	purchase_order_return	37
public	purchase_other_service	9
public	review	197
public	review_summary	49
public	review_theme	419
public	sale_order	2022
public	sale_order_deleted	66
public	sale_order_fulfillment	1844
public	sale_order_item	2307
public	sale_order_refund	1101
public	sell_with_us	38
public	shopify_product	1990
public	shopify_product_variant	2063
public	stock_manual_adjustment	194
public	stock_manual_adjustment_reason	5
public	stock_movement_type	12
public	stock_transfer	2676
public	supplier	118
public	sync_log_lxc	4268
public	translation_glossary	67
public	translation_rules	-1
public	translation_status	-1
public	vc_flat_hierarchy	220
public	vc_product_category_combination	141
public	wishlist	108
